id,label
15956,Fundação estadual para o bem estar do menor
15956,Febem
15956,Fundação estadual do bem-estar do menor
15962,Fundação nacional para o bem-estar do menor
15962,Fundação nacional para o bem estar do menor
15962,Fenabem
15962,Fundação nacional do bem-estar do menor
15760,Ferrovia paulista s/a
15760,Fepasa
15760,Ferrovia paulista s.a.
15983,Fundo de garantia por tempo de serviço
15983,Fgts
16010,Fundo para pagamento de prestações no caso de perda de renda por desemprego ou invalidez temporária
16010,Fundo para pagamento de prestações no caso de perda de renda por desemprego e invalidez temporária
16010,Fiel
15986,Fundo de investimento da amazônia
15986,Finam
15986,Fundo de investimentos da amazônia
15987,Fundo de investimento do nordeste
15987,Finor
15987,Fundo de investimentos do nordeste
15960,Fundação instituto de pesquisas econômicas
15960,Fipe
15813,Custos legis
15813,Fiscal da lei
15984,Fundo de indenização do trabalhador portuário avulso
15984,Fitp
15832,Flagrante delito
15832,Flagrante-delito
16004,Fundo nacional de desenvolvimento
16004,Fnd
16005,Fundo de desenvolvimento da educação
16005,Fnde
16005,Fundo nacional de desenvolvimento da educação
16008,Fundo nacional de telecomunicações
16008,Fnt
15877,Foro contratual
15877,Foro do contrato
15887,Xérox
15887,Xerocópia
15887,Reprografia
15939,Fumus boni iuris
15939,Fumus boni iures
15939,Fumus boni jures
15963,Fundação nacional do índio
15963,Funai
15973,Fundo de assistência ao trabalhador rural
15973,Funrural
16108,Gratificação de atividade por desempenho de função
16108,Gadf
16108,Gratificação de atividade pelo desempenho de função
16106,Gratificação de atividade executiva
16106,Gae
16199,Gás de cozinha
16199,Glp
16109,Gratificação de atividade técnico-administrativa
16109,Gata
11260,Gatt
11260,General agreement on tariffs and trade
11260,Acordo geral sobre tarifas aduaneiras
11260,Acordo geral sobre tarifas aduaneiras (gatt)
16117,Gratificação de desempenho de atividade essencial à justiça
16117,Gratificação de desempenho de função essencial à justiça
16117,Gfj
16136,Gratificação por operações especiais
16136,Gratificação de operações especiais
16136,Goe
16107,Gaj
16107,Gratificação de atividade judiciária
16122,Gefa
16122,Gratificação de estímulo à fiscalização e à arrecadação dos tributos federais
16122,Gratificação de estímulo à fiscalização e à arrecadação de tributos federais
16159,Gravidade do crime
16159,Gravidade do delito
16128,Gratificação de representação de gabinete
16128,Grg
16167,Grupo de sociedades
16167,Grupo empresarial
16167,Grupo financeiro
16247,Herdeiro instituído
16247,Herdeiro nomeado
16312,Casa de custódia e tratamento
16312,Manicômio judiciário
16723,Iaa
16723,Instituto do açúcar e do álcool
16702,Instituto de administração financeira da previdência e assistência social
16702,Iapas
16700,Instituto brasileiro do meio ambiente e dos recursos naturais renováveis
16700,Ibama
16700,Instituto brasileiro do meio ambiente
16700,Instituto brasileiro do meio ambiente (ibama)
16699,Instituto brasileiro do café
16699,Ibc
16697,Instituto brasileiro de defesa florestal
16697,Ibdf
16697,Instituto brasileiro de desenvolvimento florestal
16698,Instituto brasileiro de geografia e estatística
16698,Ibge
16701,Instituto brasileiro do patrimônio cultural
16701,Ibpc
16409,Imposto sobre circulação de mercadorias e serviços
16409,Imposto sobre circulação de mercadorias
16409,Icms
16409,Imposto sobre circulação de mercadorias e prestação de serviços
16411,Imposto sobre grandes fortunas
16411,Igf
22063,Índice geral de preços
22063,Igp
16725,Instituto médico legal
16725,Iml
16472,Residência funcional
16472,Apartamento funcional
16383,Ie
16383,Imposto de exportação
16384,Imposto sobre importação
16384,Ii
16384,Imposto de importação
16384,Imposto sobre importação de produtos estrangeiros (ii)
16386,Irpf
16386,Imposto sobre a renda da pessoa física
16386,Imposto de renda pessoa física
16388,Imposto de renda retido na fonte
16388,Irrf
16406,Itr
16406,Imposto territorial rural
16406,Imposto sobre a propriedade territorial rural
16406,Imposto territorial rural (itr)
16408,Itbi
16408,Imposto sobre a transmissão de bens imóveis
16408,Imposto sobre a transmissão de bens imóveis e de direitos a eles relativos
16408,Imposto sobre a transmissão de bens imóveis (itbi)
16420,Iuee
16420,Imposto único sobre energia elétrica
16421,Imposto único sobre lubrificantes e combustíveis líquidos e gasosos
16421,Iulclg
16422,Ium
16422,Imposto único sobre minerais
16425,Jornal oficial
16425,Órgão oficial
16454,Imunidade diplomática
16454,Princípio da imunidade de jurisdição de estado estrangeiro
16454,Teoria da imunidade de jurisdição soberana
16454,Doutrina da imunidade estatal à jurisdição estrangeira
16726,Instituto nacional de assistência médica e previdência social
16726,Inamps
16726,Instituto nacional de assistência médica da previdência social
16520,Questão incidente
16520,Questão incidental
22062,Irsm
22062,Índice de reajuste do salário mínimo
22065,Igpm
22065,Igp-m
22065,Índice geral de preços do mercado
16631,Infração tributária
16631,Ilícito fiscal
15051,Empresa brasileira de infraestrutura aeroportuária
15051,Empresa brasileira de infra-estrutura aeroportuária
15051,Infraero
16729,Instituto nacional de metrologia normatização e qualidade industrial
16729,Inmetro
22068,Índice nacional de preços ao consumidor
22068,Inpc
16731,Instituto nacional de propriedade industrial
16731,Inpi
16730,Instituto nacional de previdência social
16730,Inps
16732,Instituto nacional de seguro social
16732,Instituto nacional de seguridade social
16732,Instituto nacional do seguro social
16732,Inss
16703,Iapi
16703,Instituto de aposentadoria e pensões dos industriários
16704,Iapm
16704,Instituto de aposentadoria e pensões dos marítimos
16727,Incra
16727,Instituto nacional de colonização e reforma agrária
16770,Interceptação de comunicações telefônicas
16770,Interceptação de comunicação telefônica
16770,Interceptação de conversa telefônica
16832,Interpretação benigna
16832,Interpretação favorável
16413,Imposto sobre operações financeiras
16413,Imposto sobre operações de crédito
16413,Iof
16413,"Imposto sobre operações de crédito, câmbio e seguro, ou relativas a títulos mobiliários"
22059,Ipc
